dataset,model,accuracy,precision,recall,f1_score,fit_time_s
breast_cancer,Logistic Regression,0.9649122807017544,0.9623015873015872,0.9623015873015872,0.9623015873015872,0.0011073749919887
breast_cancer,SVM (RBF kernel),0.956140350877193,0.9550618108920814,0.9503968253968254,0.9526381387619444,0.0008305000083055
breast_cancer,Random Forest,0.9298245614035088,0.9246031746031746,0.9246031746031746,0.9246031746031746,0.0250937920063734
breast_cancer,QSVC,0.7456140350877193,0.7274482274482275,0.7142857142857143,0.7191402599609209,279.2189849610004
breast_cancer,VQC,0.7280701754385965,0.7322025800286669,0.6607142857142857,0.6664464369985843,83.71755270399444
digits,Logistic Regression,0.8444444444444444,0.845873763979027,0.8435456885456885,0.8413110943483147,0.0070910840004216
digits,SVM (RBF kernel),0.9583333333333334,0.9599489075612312,0.957932217932218,0.9578344123254916,0.00983341599931
digits,Random Forest,0.9194444444444444,0.9206950675371728,0.919026169026169,0.9185118609969084,0.2646245829964755
digits,QSVC,0.2861111111111111,0.2874307725819565,0.2858708708708709,0.2854505686808637,3803.293570020993
digits,VQC,0.0972222222222222,0.0194357850550942,0.0972222222222222,0.0323952416675597,356.3517096229916
wine,Logistic Regression,1.0,1.0,1.0,1.0,0.001745708999806
wine,SVM (RBF kernel),0.9444444444444444,0.9505494505494506,0.942857142857143,0.94531328320802,0.0005127079930389
wine,Random Forest,1.0,1.0,1.0,1.0,0.0423017080029239
wine,QSVC,0.75,0.8174603174603176,0.7261904761904763,0.7416666666666667,31.402629681004328
wine,VQC,0.3888888888888889,0.2603174603174603,0.3571428571428571,0.3005291005291005,30.43722188899119
